Altium Designer Pick and Place Locations
C:\Users\lydialee\Box Sync\Research\SSL\span-ion\board\span-ion-cfd-respin-noMuxDemux\Project Outputs for Free Documents\Pick Place\Pick Place for CFD_2Channel.csv

========================================================================================================================
File Design Information:

Date:       07-06-23
Time:       18:49
Revision:   af634837b63e5cbd93a0f62402c30a2388a9431f
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"DUT_x1","CFD_Respin_Correct","TopLayer","QFN50P800X800X80_HS-57N_WIDEVIAS","53.7210","36.7030","0",""
"DUT_x0","CFD_Respin_Correct","TopLayer","QFN50P800X800X80_HS-57N_WIDEVIAS","53.7210","114.3000","0",""
"U7","CDCLVC1106PWR","TopLayer","FP-PW0014A-MFG","116.5860","172.0850","0","IC CLK BUFFER 1:6 250MHZ 14TSSOP"
"R18","<50Ohm","TopLayer","RESC1609X50X30NL8T20","120.9040","168.0210","90","0603,<50Ohm"
"R17","<50Ohm","TopLayer","RESC1609X50X30NL8T20","108.9660","170.8150","0","0603,<50Ohm"
"R16","<50Ohm","TopLayer","RESC1609X50X30NL8T20","123.9520","168.0210","90","0603,<50Ohm"
"R15","<50Ohm","TopLayer","RESC1609X50X30NL8T20","122.4280","168.0210","90","0603,<50Ohm"
"R14","<50Ohm","TopLayer","RESC1609X50X30NL8T20","125.4760","168.0210","90","0603,<50Ohm"
"C64","10uF","TopLayer","CAPC1608X90X35ML10T15","119.2530","176.7840","90","0603,10uF"
"C63","1uF","TopLayer","CAPC1608X90X35ML10T15","117.0940","176.7840","90","0603,1uF"
"C62","100nF","TopLayer","CAPC1608X90X35ML10T15","114.9350","176.7840","90","0603,100nF"
"P12_x1","Header 3X2","TopLayer","HDR2X3","35.3060","49.2760","90","Header, 3-Pin, Dual row"
"P12_x0","Header 3X2","TopLayer","HDR2X3","35.3060","126.8730","90","Header, 3-Pin, Dual row"
"R13_x1","Resistor L","TopLayer","RESL","61.8870","34.6330","270","Pick one 0603,0Ohm"
"R12_x1","Resistor L","TopLayer","RESL","57.3150","44.8690","0","Pick one 0603,0Ohm"
"R11_x1","(50Ohm)","TopLayer","RESC1609X50X30NL8T20","75.4380","28.5750","0","0603,(50Ohm),Do Not Populate"
"R10_x1","(50Ohm)","TopLayer","RESC1609X50X30NL8T20","70.5916","35.6664","90","0603,(50Ohm),Do Not Populate"
"R9_x1","<50Ohm","TopLayer","RESC1609X50X30NL8T20","75.9460","26.4160","270","0603,<50Ohm"
"R8_x1","(50Ohm)","TopLayer","RESC1609X50X30NL8T20","62.6110","65.6590","180","0603,(50Ohm),Do Not Populate"
"R7_x1","(50Ohm)","TopLayer","RESC1609X50X30NL8T20","70.5916","38.3334","90","0603,(50Ohm),Do Not Populate"
"R6_x1","<50Ohm","TopLayer","RESC1609X50X30NL8T20","62.1030","63.5000","270","0603,<50Ohm"
"R5_x1","(50Ohm)","TopLayer","RESC1609X50X30NL8T20","57.4040","27.3050","180","0603,(50Ohm),Do Not Populate"
