Altium Designer Pick and Place Locations
C:\Users\lydialee\Box Sync\Research\SSL\span-ion\board\span-ion-cfd-respin-noMuxDemux\Project Outputs for span-ion-cfd-respin-noMuxDemux\Pick Place for CFD_2Channel.txt

========================================================================================================================
File Design Information:

Date:       26-04-23
Time:       18:02
Revision:   7b1f5d154a726df210e7a92d06f75cabdb0e68f2
Variant:    No variations
Units used: mil

Designator Comment        Layer    Footprint                        Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                               
U7         CDCLVC1106PWR  TopLayer FP-PW0014A-MFG                   4590,000mil   6775,000mil   0        "IC CLK BUFFER 1:6 250MHZ 14TSSOP"                                                                                                                                                        
R18        <50Ohm         TopLayer RESC1609X50X30NL8T20             4760,000mil   6615,000mil   90       0603                                                                                                                                                                                      
R17        <50Ohm         TopLayer RESC1609X50X30NL8T20             4290,000mil   6725,000mil   0        0603                                                                                                                                                                                      
R16        <50Ohm         TopLayer RESC1609X50X30NL8T20             4880,000mil   6615,000mil   90       0603                                                                                                                                                                                      
R15        <50Ohm         TopLayer RESC1609X50X30NL8T20             4820,000mil   6615,000mil   90       0603                                                                                                                                                                                      
R14        <50Ohm         TopLayer RESC1609X50X30NL8T20             4940,000mil   6615,000mil   90       0603                                                                                                                                                                                      
C64        10uF           TopLayer CAPC1608X90X35ML10T15            4695,000mil   6960,000mil   90       0603                                                                                                                                                                                      
C63        1uF            TopLayer CAPC1608X90X35ML10T15            4610,000mil   6960,000mil   90       0603                                                                                                                                                                                      
C62        100nF          TopLayer CAPC1608X90X35ML10T15            4525,000mil   6960,000mil   90       0603                                                                                                                                                                                      
P12_x1     "Header 3X2"   TopLayer HDR2X3                           1390,000mil   1940,000mil   90       "Header, 3-Pin, Dual row"                                                                                                                                                                 
P12_x0     "Header 3X2"   TopLayer HDR2X3                           1390,000mil   4995,000mil   90       "Header, 3-Pin, Dual row"                                                                                                                                                                 
R13_x1     "Resistor L"   TopLayer RESL                             2436,496mil   1363,504mil   270      ""                                                                                                                                                                                        
R12_x1     "Resistor L"   TopLayer RESL                             2256,496mil   1766,496mil   0        ""                                                                                                                                                                                        
R11_x1     (50Ohm)        TopLayer RESC1609X50X30NL8T20             2970,000mil   1125,000mil   0        0603                                                                                                                                                                                      
R10_x1     (50Ohm)        TopLayer RESC1609X50X30NL8T20             2779,198mil   1404,190mil   90       0603                                                                                                                                                                                      
R9_x1      (<50Ohm)       TopLayer RESC1609X50X30NL8T20             2990,000mil   1040,000mil   270      0603                                                                                                                                                                                      
R8_x1      (50Ohm)        TopLayer RESC1609X50X30NL8T20             2465,000mil   2585,000mil   180      0603                                                                                                                                                                                      
R7_x1      (50Ohm)        TopLayer RESC1609X50X30NL8T20             2779,198mil   1509,190mil   90       0603                                                                                                                                                                                      
R6_x1      (<50Ohm)       TopLayer RESC1609X50X30NL8T20             2445,000mil   2500,000mil   270      0603                                                                                                                                                                                      
R5_x1      (50Ohm)        TopLayer RESC1609X50X30NL8T20             2260,000mil   1075,000mil   180      0603                                                                                                                                                                                      
R4_x1      (50Ohm)        TopLayer RESC1609X50X30NL8T20             2779,198mil   1614,190mil   90       0603                                                                                                                                                                                      
