Point,Corner,VINCM,temperature,c018hv32v.scs,c018hv32v.scs:1,c018hv32v.scs:2,c018hv32v.scs:3,c018hv32v.scs:4,c018hv32v.scs:5,c018hv32v.scs:6,c018hv32v.scs:7,c018hv32v.scs:8,c018hv32v.scs:9,c018hv32v.scs:10,c018hv32v.scs:11,c018hv32v.scs:12,c018hv32v.scs:13,Pass/Fail,ac_mag,ac_phase,acVal_Av,acVal_f3dB,acVal_Av0,acVal_Av1,acVal_Av2,dcVal_voutCM0,dcVal_voutCM1,dcVal_voutCM2,dcVal_voutCM3,dcVal_voutCM4,dcVal_voutCM
5,fs_HiT,900e-3,125,dio,dio_5,ff_bip_npn,fs_hvs_lg,fs_hvs,fs_5,ff_res,fs,ff_mim,ff_bip,fs_hva,fs_hvi_lg,fs_hvi,fs_hva_lg,fail,,,28.4,30.93e6,1.385,1.785,1.834,202.4e-3,537.1e-3,473.2e-3,500.5e-3,490e-3,494.2e-3
4,fs_HiT,800e-3,125,dio,dio_5,ff_bip_npn,fs_hvs_lg,fs_hvs,fs_5,ff_res,fs,ff_mim,ff_bip,fs_hva,fs_hvi_lg,fs_hvi,fs_hva_lg,fail,,,33.23,30.94e6,1.594,1.813,1.836,286.2e-3,532.6e-3,475.4e-3,499.7e-3,490.3e-3,494.1e-3
3,fs_HiT,700e-3,125,dio,dio_5,ff_bip_npn,fs_hvs_lg,fs_hvs,fs_5,ff_res,fs,ff_mim,ff_bip,fs_hva,fs_hvi_lg,fs_hvi,fs_hva_lg,fail,,,36.51,30.95e6,1.729,1.834,1.838,366.8e-3,525e-3,479.1e-3,498.4e-3,490.9e-3,493.9e-3
2,fs_HiT,600e-3,125,dio,dio_5,ff_bip_npn,fs_hvs_lg,fs_hvs,fs_5,ff_res,fs,ff_mim,ff_bip,fs_hva,fs_hvi_lg,fs_hvi,fs_hva_lg,fail,,,38.46,30.97e6,1.808,1.844,1.841,437.3e-3,511.4e-3,485.3e-3,496e-3,491.8e-3,493.5e-3
1,fs_HiT,500e-3,125,dio,dio_5,ff_bip_npn,fs_hvs_lg,fs_hvs,fs_5,ff_res,fs,ff_mim,ff_bip,fs_hva,fs_hvi_lg,fs_hvi,fs_hva_lg,fail,,,39.21,31e6,1.842,1.844,1.843,490.2e-3,494.2e-3,492.6e-3,493.2e-3,493e-3,493.1e-3
5,fs_MidT,900e-3,27,dio,dio_5,ff_bip_npn,fs_hvs_lg,fs_hvs,fs_5,ff_res,fs,ff_mim,ff_bip,fs_hva,fs_hvi_lg,fs_hvi,fs_hva_lg,fail,,,59.19,28.82e6,1.417,2.071,2.084,171.4e-3,584.8e-3,466.9e-3,539.4e-3,499.4e-3,523.5e-3
5,ss_HiT,900e-3,125,dio,dio_5,ss_bip_npn,ss_hvs_lg,ss_hvs,ss_5,ss_res,ss,ss_mim,ss_bip,ss_hva,ss_hvi_lg,ss_hvi,ss_hva_lg,fail,,,64.38,23.13e6,1.599,2.078,2.002,236.2e-3,714.5e-3,428e-3,661.9e-3,480.2e-3,631.4e-3
5,ff_HiT,900e-3,125,dio,dio_5,ff_bip_npn,ff_hvs_lg,ff_hvs,ff_5,ff_res,ff,ff_mim,ff_bip,ff_hva,ff_hvi_lg,ff_hvi,ff_hva_lg,fail,,,67.28,32.15e6,1.844,1.991,2.072,313.7e-3,540.9e-3,524.4e-3,526.9e-3,526.5e-3,526.6e-3
4,fs_MidT,800e-3,27,dio,dio_5,ff_bip_npn,fs_hvs_lg,fs_hvs,fs_5,ff_res,fs,ff_mim,ff_bip,fs_hva,fs_hvi_lg,fs_hvi,fs_hva_lg,fail,,,73.73,28.81e6,1.729,2.11,2.088,268.5e-3,579.3e-3,471.1e-3,537.5e-3,500.6e-3,522.8e-3
4,ff_HiT,800e-3,125,dio,dio_5,ff_bip_npn,ff_hvs_lg,ff_hvs,ff_5,ff_res,ff,ff_mim,ff_bip,ff_hva,ff_hvi_lg,ff_hvi,ff_hva_lg,fail,,,73.87,32.17e6,1.99,2.026,2.071,398.8e-3,537.3e-3,525e-3,526.8e-3,526.6e-3,526.6e-3
5,tt_HiT,900e-3,125,dio,dio_5,tt_bip_npn,tt_hvs_lg,tt_hvs,tt_5,tt_res,tt,tt_mim,tt_bip,tt_hva,tt_hvi_lg,tt_hvi,tt_hva_lg,fail,,,73.9,26.94e6,1.747,2.053,2.116,279.8e-3,629.5e-3,523.9e-3,585e-3,553.2e-3,571e-3
3,ff_HiT,700e-3,125,dio,dio_5,ff_bip_npn,ff_hvs_lg,ff_hvs,ff_5,ff_res,ff,ff_mim,ff_bip,ff_hva,ff_hvi_lg,ff_hvi,ff_hva_lg,fail,,,77.49,32.19e6,2.063,2.051,2.07,467.7e-3,532.9e-3,525.7e-3,526.7e-3,526.6e-3,526.6e-3
