time,signal
0,0
1E-13,0
2E-13,0
3.99998E-13,0
7.99994E-13,0
1.59999E-12,0
3.19997E-12,0
6.39993E-12,0
1.27999E-11,0
2.27999E-11,0
3.28E-11,0
4.28001E-11,0
5.28002E-11,0
6.28002E-11,0
7.28003E-11,0
8.28004E-11,0
9.28005E-11,0
1.02801E-10,0
1.12801E-10,0
1.22801E-10,0
1.32801E-10,0
1.42801E-10,0
1.52801E-10,0
1.62801E-10,0
1.72801E-10,0
1.82801E-10,0
1.92801E-10,0
2.02801E-10,0
2.12801E-10,0
2.22801E-10,0
2.32802E-10,0
2.42802E-10,0
2.52802E-10,0
2.62802E-10,0
2.72802E-10,0
2.82802E-10,0
2.92802E-10,0
3.02802E-10,0
3.12802E-10,0
3.22802E-10,0
3.32802E-10,0
3.42802E-10,0
3.52802E-10,0
3.62803E-10,0
3.72803E-10,0
3.82803E-10,0
3.92803E-10,0
4.02803E-10,0
4.12803E-10,0
4.22803E-10,0
4.32803E-10,0
4.42803E-10,0
4.52803E-10,0
4.62803E-10,0
4.72803E-10,0
4.82803E-10,0
4.92804E-10,0
5.02804E-10,0
5.12804E-10,0
5.22804E-10,0
5.32804E-10,0
5.42804E-10,0
5.52804E-10,0
5.62804E-10,0
5.72804E-10,0
5.82804E-10,0
5.92804E-10,0
6.02804E-10,0
6.12804E-10,0
6.22805E-10,0
6.32805E-10,0
6.42805E-10,0
6.52805E-10,0
6.62805E-10,0
6.72805E-10,0
6.82805E-10,0
6.92805E-10,0
7.02805E-10,0
7.12805E-10,0
7.22805E-10,0
7.32805E-10,0
7.42805E-10,0
7.52806E-10,0
7.62806E-10,0
7.72806E-10,0
7.82806E-10,0
7.92806E-10,0
8.02806E-10,0
8.12806E-10,0
8.22806E-10,0
8.32806E-10,0
8.42806E-10,0
8.52806E-10,0
8.62806E-10,0
8.72806E-10,0
8.82806E-10,0
8.92807E-10,0
9.02807E-10,0
9.12807E-10,0
9.22807E-10,0
9.32807E-10,0
9.42807E-10,0
9.52807E-10,0
9.62807E-10,0
9.72807E-10,0
9.82807E-10,0
9.92807E-10,0
1.00281E-09,0
1.01281E-09,0
1.02281E-09,0
1.03281E-09,0
1.04281E-09,0
1.05281E-09,0
1.06281E-09,0
1.07281E-09,0
1.08281E-09,0
1.09281E-09,0
1.10281E-09,0
1.11281E-09,0
1.12281E-09,0
1.13281E-09,0
1.14281E-09,0
1.15281E-09,0
1.16281E-09,0
1.17281E-09,0
1.18281E-09,0
1.19281E-09,0
1.20281E-09,0
1.21281E-09,0
1.22281E-09,0
1.23281E-09,0
1.24281E-09,0
1.25281E-09,0
1.26281E-09,0
1.27281E-09,0
1.28281E-09,0
1.29281E-09,0
1.30281E-09,0
1.31281E-09,0
1.32281E-09,0
1.33281E-09,0
1.34281E-09,0
1.35281E-09,0
1.36281E-09,0
1.37281E-09,0
1.38281E-09,0
1.39281E-09,0
1.40281E-09,0
1.41281E-09,0
1.42281E-09,0
1.43281E-09,0
1.44281E-09,0
1.45281E-09,0
1.46281E-09,0
1.47281E-09,0
1.48281E-09,0
1.49281E-09,0
1.50281E-09,0
1.51281E-09,0
1.52281E-09,0
1.53281E-09,0
1.54281E-09,0
1.55281E-09,0
1.56281E-09,0
1.57281E-09,0
1.58281E-09,0
1.59281E-09,0
1.60281E-09,0
1.61281E-09,0
1.62281E-09,0
1.63281E-09,0
1.64281E-09,0
1.65281E-09,0
1.66281E-09,0
1.67281E-09,0
1.68281E-09,0
1.69281E-09,0
1.70281E-09,0
1.71281E-09,0
1.72281E-09,0
1.73281E-09,0
1.74281E-09,0
1.75281E-09,0
1.76281E-09,0
1.77281E-09,0
1.78281E-09,0
1.79281E-09,0
1.8E-09,0
1.801E-09,4.38E-09
1.803E-09,6.48E-08
1.807E-09,3.55E-07
1.815E-09,2.71E-06
1.825E-09,1.13E-05
1.835E-09,2.91E-05
1.845E-09,5.90E-05
1.855E-09,0.000103575
1.865E-09,0.000164784
1.875E-09,0.000244405
1.885E-09,0.000343866
1.895E-09,0.000464322
1.905E-09,0.000606679
1.915E-09,0.000771628
1.925E-09,0.000959663
1.935E-09,0.001171105
1.945E-09,0.001406126
1.955E-09,0.001664762
1.965E-09,0.001946934
1.975E-09,0.002252459
1.985E-09,2.58E-03
1.995E-09,2.93E-03
2.005E-09,3.31E-03
2.015E-09,3.70E-03
2.025E-09,4.12E-03
2.035E-09,4.56E-03
2.045E-09,5.01E-03
2.055E-09,5.49E-03
2.065E-09,0.005987875
2.075E-09,0.006502634
2.085E-09,0.00703507
2.095E-09,0.007584526
2.105E-09,0.008150342
2.115E-09,0.00873186
2.125E-09,0.009328425
2.135E-09,0.009939387
2.145E-09,0.010564106
2.155E-09,0.01120195
2.165E-09,0.011852297
2.175E-09,0.012514541
2.185E-09,0.013188086
2.195E-09,0.013872352
2.205E-09,0.014566774
2.215E-09,0.015270799
2.225E-09,0.015983896
2.235E-09,0.016705545
2.245E-09,0.017435243
2.255E-09,0.018172508
2.265E-09,0.018916868
2.275E-09,0.019667873
2.285E-09,2.04E-02
2.295E-09,2.12E-02
2.305E-09,2.20E-02
2.315E-09,2.27E-02
2.32501E-09,2.35E-02
2.33501E-09,2.43E-02
2.34501E-09,0.025076266
2.35501E-09,0.025866032
2.36501E-09,0.02665907
2.37501E-09,0.02745508
2.38501E-09,0.028253775
2.39501E-09,0.029054876
2.40501E-09,0.029858124
2.41501E-09,0.030663261
2.42501E-09,0.031470053
2.43501E-09,0.032278266
