Target Depth,Ionization by Ions,Ionization by Recoils
300000.E-01,4333.55E-05,0000.00E+00
600000.E-01,4337.47E-05,0000.00E+00
900000.E-01,4332.33E-05,0000.00E+00
120000.E+00,4316.64E-05,0000.00E+00
150000.E+00,4308.67E-05,2459.43E-12
180000.E+00,4328.94E-05,0000.00E+00
210000.E+00,4332.64E-05,0000.00E+00
240000.E+00,4307.77E-05,0000.00E+00
270000.E+00,4285.63E-05,0000.00E+00
300000.E+00,4323.18E-05,0000.00E+00
330000.E+00,4344.39E-05,9457.82E-12
360000.E+00,4351.11E-05,0000.00E+00
390000.E+00,4358.10E-05,5289.16E-12
420000.E+00,4383.15E-05,0000.00E+00
450000.E+00,4393.81E-05,0000.00E+00
480000.E+00,4402.02E-05,0000.00E+00
510000.E+00,4404.71E-05,1176.95E-10
540000.E+00,4406.26E-05,4615.82E-11
570000.E+00,4393.37E-05,0000.00E+00
600000.E+00,4396.87E-05,1356.18E-11
630000.E+00,4389.65E-05,3487.54E-12
660000.E+00,4404.24E-05,0000.00E+00
690000.E+00,4433.69E-05,1794.54E-11
720000.E+00,4431.68E-05,1332.89E-12
750000.E+00,4429.15E-05,0000.00E+00
780000.E+00,4370.22E-05,3358.49E-09
810000.E+00,4386.11E-05,4132.18E-12
840000.E+00,4411.26E-05,7827.00E-12
870000.E+00,4438.13E-05,1672.65E-12
900000.E+00,4444.21E-05,0000.00E+00
930000.E+00,4457.93E-05,0000.00E+00
960000.E+00,4480.43E-05,1643.60E-12
990000.E+00,4414.29E-05,1330.10E-12
102000.E+01,4392.10E-05,6252.63E-12
105000.E+01,4415.45E-05,0000.00E+00
108000.E+01,4407.04E-05,5561.50E-12
111000.E+01,4391.14E-05,4779.59E-12
114000.E+01,4383.07E-05,0000.00E+00
117000.E+01,4342.10E-05,0000.00E+00
120000.E+01,4333.49E-05,0000.00E+00
123000.E+01,4337.46E-05,3326.82E-12
126000.E+01,4291.30E-05,5527.40E-12
129000.E+01,4251.95E-05,2011.44E-12
132000.E+01,4273.93E-05,0000.00E+00
135000.E+01,4293.14E-05,3578.87E-12
138000.E+01,4257.81E-05,0000.00E+00
141000.E+01,4230.51E-05,0000.00E+00
144000.E+01,4223.41E-05,5879.17E-12
147000.E+01,4239.96E-05,0000.00E+00
150000.E+01,4249.02E-05,1620.24E-11
153000.E+01,4286.42E-05,0000.00E+00
156000.E+01,4267.87E-05,2871.14E-12
159000.E+01,4270.42E-05,3389.73E-11
162000.E+01,4313.38E-05,2666.17E-12
165000.E+01,4339.99E-05,6727.42E-12
168000.E+01,4318.62E-05,8757.81E-11
171000.E+01,4367.96E-05,3593.61E-12
174000.E+01,4342.86E-05,1754.48E-12
177000.E+01,4330.80E-05,1883.15E-11
180000.E+01,4312.04E-05,3632.46E-12
183000.E+01,4310.83E-05,3387.63E-11
186000.E+01,4290.31E-05,0000.00E+00
189000.E+01,4245.98E-05,1265.98E-11
192000.E+01,4232.18E-05,1470.52E-11
195000.E+01,4211.66E-05,4238.92E-12
198000.E+01,4152.98E-05,2055.52E-12
201000.E+01,4150.13E-05,0000.00E+00
204000.E+01,4162.33E-05,1413.20E-11
207000.E+01,4146.22E-05,0000.00E+00
210000.E+01,4162.19E-05,4180.35E-12
213000.E+01,4166.11E-05,3209.65E-12
216000.E+01,4165.12E-05,5939.97E-12
219000.E+01,4237.55E-05,4052.56E-12
222000.E+01,4283.88E-05,5603.47E-11
225000.E+01,4289.84E-05,2554.34E-11
228000.E+01,4325.97E-05,9733.79E-12
231000.E+01,4328.15E-05,8507.68E-12
234000.E+01,4286.98E-05,5211.53E-12
237000.E+01,4272.07E-05,5147.20E-12
240000.E+01,4262.24E-05,0000.00E+00
243000.E+01,4258.23E-05,1273.44E-11
246000.E+01,4234.47E-05,1514.30E-10
249000.E+01,4228.98E-05,9032.15E-11
252000.E+01,4236.70E-05,6886.01E-12
255000.E+01,4303.48E-05,2477.09E-11
258000.E+01,4296.14E-05,0000.00E+00
261000.E+01,4222.78E-05,6075.80E-12
264000.E+01,4227.67E-05,1486.81E-11
267000.E+01,4224.93E-05,1660.52E-11
270000.E+01,4215.82E-05,7881.54E-12
273000.E+01,4198.69E-05,3172.11E-12
276000.E+01,4262.36E-05,3497.12E-09
279000.E+01,4360.64E-05,5948.97E-12
282000.E+01,4482.35E-05,1249.91E-10
285000.E+01,4528.10E-05,1105.16E-11
288000.E+01,4377.47E-05,0000.00E+00
291000.E+01,4280.64E-05,8331.69E-11
294000.E+01,4269.99E-05,1677.57E-11
297000.E+01,4339.69E-05,1857.61E-11
300000.E+01,4296.50E-05,3835.03E-12
