Target Depth,Ionization by Ions,Ionization by Recoils
300000.E-01,1972.59E-03,8376.74E-08
600000.E-01,2000.31E-03,8781.80E-08
900000.E-01,2031.02E-03,2150.09E-07
120000.E+00,2059.36E-03,1520.32E-07
150000.E+00,2093.33E-03,2073.63E-07
180000.E+00,2127.52E-03,5522.06E-07
210000.E+00,2163.35E-03,6063.44E-07
240000.E+00,2202.08E-03,1628.59E-07
270000.E+00,2243.81E-03,1135.13E-06
300000.E+00,2292.04E-03,2744.69E-07
330000.E+00,2341.81E-03,7952.53E-07
360000.E+00,2389.54E-03,2654.53E-07
390000.E+00,2440.65E-03,1959.77E-07
420000.E+00,2500.81E-03,5193.74E-07
450000.E+00,2565.63E-03,4678.23E-07
480000.E+00,2626.64E-03,1478.95E-07
510000.E+00,2700.65E-03,2119.49E-07
540000.E+00,2786.27E-03,2057.15E-07
570000.E+00,2878.51E-03,2103.49E-07
600000.E+00,2977.56E-03,3509.77E-07
630000.E+00,3098.21E-03,5165.72E-07
660000.E+00,3224.87E-03,7485.49E-07
690000.E+00,3374.88E-03,2634.40E-07
720000.E+00,3554.32E-03,8001.15E-07
750000.E+00,3772.20E-03,3995.12E-07
780000.E+00,4036.61E-03,5472.24E-07
810000.E+00,4348.74E-03,5374.96E-07
840000.E+00,4775.70E-03,6410.24E-07
870000.E+00,5422.85E-03,8642.27E-07
900000.E+00,6582.10E-03,1207.43E-06
930000.E+00,7402.24E-03,2678.29E-06
960000.E+00,2810.60E-03,1877.45E-06
990000.E+00,1173.63E-04,1308.73E-07
102000.E+01,3477.66E-07,4780.18E-10
105000.E+01,0000.00E+00,0000.00E+00
108000.E+01,0000.00E+00,0000.00E+00
111000.E+01,0000.00E+00,0000.00E+00
114000.E+01,0000.00E+00,0000.00E+00
117000.E+01,0000.00E+00,0000.00E+00
120000.E+01,0000.00E+00,0000.00E+00
123000.E+01,0000.00E+00,0000.00E+00
126000.E+01,0000.00E+00,0000.00E+00
129000.E+01,0000.00E+00,0000.00E+00
132000.E+01,0000.00E+00,0000.00E+00
135000.E+01,0000.00E+00,0000.00E+00
138000.E+01,0000.00E+00,0000.00E+00
141000.E+01,0000.00E+00,0000.00E+00
144000.E+01,0000.00E+00,0000.00E+00
147000.E+01,0000.00E+00,0000.00E+00
150000.E+01,0000.00E+00,0000.00E+00
153000.E+01,0000.00E+00,0000.00E+00
156000.E+01,0000.00E+00,0000.00E+00
159000.E+01,0000.00E+00,0000.00E+00
162000.E+01,0000.00E+00,0000.00E+00
165000.E+01,0000.00E+00,0000.00E+00
168000.E+01,0000.00E+00,0000.00E+00
171000.E+01,0000.00E+00,0000.00E+00
174000.E+01,0000.00E+00,0000.00E+00
177000.E+01,0000.00E+00,0000.00E+00
180000.E+01,0000.00E+00,0000.00E+00
183000.E+01,0000.00E+00,0000.00E+00
186000.E+01,0000.00E+00,0000.00E+00
189000.E+01,0000.00E+00,0000.00E+00
192000.E+01,0000.00E+00,0000.00E+00
195000.E+01,0000.00E+00,0000.00E+00
198000.E+01,0000.00E+00,0000.00E+00
201000.E+01,0000.00E+00,0000.00E+00
204000.E+01,0000.00E+00,0000.00E+00
207000.E+01,0000.00E+00,0000.00E+00
210000.E+01,0000.00E+00,0000.00E+00
213000.E+01,0000.00E+00,0000.00E+00
216000.E+01,0000.00E+00,0000.00E+00
219000.E+01,0000.00E+00,0000.00E+00
222000.E+01,0000.00E+00,0000.00E+00
225000.E+01,0000.00E+00,0000.00E+00
228000.E+01,0000.00E+00,0000.00E+00
231000.E+01,0000.00E+00,0000.00E+00
234000.E+01,0000.00E+00,0000.00E+00
237000.E+01,0000.00E+00,0000.00E+00
240000.E+01,0000.00E+00,0000.00E+00
243000.E+01,0000.00E+00,0000.00E+00
246000.E+01,0000.00E+00,0000.00E+00
249000.E+01,0000.00E+00,0000.00E+00
252000.E+01,0000.00E+00,0000.00E+00
255000.E+01,0000.00E+00,0000.00E+00
258000.E+01,0000.00E+00,0000.00E+00
261000.E+01,0000.00E+00,0000.00E+00
264000.E+01,0000.00E+00,0000.00E+00
267000.E+01,0000.00E+00,0000.00E+00
270000.E+01,0000.00E+00,0000.00E+00
273000.E+01,0000.00E+00,0000.00E+00
276000.E+01,0000.00E+00,0000.00E+00
279000.E+01,0000.00E+00,0000.00E+00
282000.E+01,0000.00E+00,0000.00E+00
285000.E+01,0000.00E+00,0000.00E+00
288000.E+01,0000.00E+00,0000.00E+00
291000.E+01,0000.00E+00,0000.00E+00
294000.E+01,0000.00E+00,0000.00E+00
297000.E+01,0000.00E+00,0000.00E+00
300000.E+01,0000.00E+00,0000.00E+00
