Target Depth,Ionization by Ions,Ionization by Recoils
100000.E-01,1967.59E-03,1003.59E-08
200000.E-01,1973.92E-03,1966.20E-07
300000.E-01,1981.80E-03,7423.04E-08
400000.E-01,1989.34E-03,5412.81E-08
500000.E-01,1992.10E-03,3768.03E-08
600000.E-01,2000.40E-03,1230.23E-07
700000.E-01,2015.46E-03,2032.09E-07
800000.E-01,2026.51E-03,5982.24E-08
900000.E-01,2038.04E-03,2038.84E-06
100000.E+00,2045.78E-03,4615.03E-08
110000.E+00,2056.98E-03,6769.92E-08
120000.E+00,2067.47E-03,9624.74E-08
130000.E+00,2083.72E-03,9799.00E-08
140000.E+00,2100.28E-03,1395.71E-07
150000.E+00,2112.60E-03,8134.80E-08
160000.E+00,2127.05E-03,6907.67E-08
170000.E+00,2129.30E-03,6420.05E-08
180000.E+00,2136.08E-03,8358.17E-08
190000.E+00,2142.66E-03,1296.56E-07
200000.E+00,2158.50E-03,1092.27E-07
210000.E+00,2167.34E-03,9094.38E-08
220000.E+00,2183.12E-03,1274.70E-07
230000.E+00,2200.57E-03,1032.80E-07
240000.E+00,2212.87E-03,3135.55E-07
250000.E+00,2229.69E-03,5969.88E-07
260000.E+00,2243.02E-03,6489.96E-08
270000.E+00,2247.84E-03,8203.60E-08
280000.E+00,2257.32E-03,1217.32E-07
290000.E+00,2283.78E-03,1095.84E-07
300000.E+00,2311.81E-03,1142.89E-07
310000.E+00,2325.71E-03,1320.02E-07
320000.E+00,2353.70E-03,7168.33E-06
330000.E+00,2377.39E-03,1529.22E-07
340000.E+00,2389.03E-03,8493.26E-08
350000.E+00,2396.01E-03,1497.69E-07
360000.E+00,2414.30E-03,8170.39E-08
370000.E+00,2435.26E-03,2085.61E-07
380000.E+00,2452.86E-03,1535.53E-07
390000.E+00,2472.99E-03,2282.84E-07
400000.E+00,2494.30E-03,1192.28E-07
410000.E+00,2524.89E-03,2450.80E-07
420000.E+00,2568.22E-03,2527.52E-07
430000.E+00,2536.24E-03,8519.00E-08
440000.E+00,2543.77E-03,7778.27E-08
450000.E+00,2578.63E-03,1505.37E-07
460000.E+00,2607.31E-03,1283.97E-07
470000.E+00,2627.33E-03,1991.27E-07
480000.E+00,2641.32E-03,1608.20E-07
490000.E+00,2657.70E-03,1798.24E-07
500000.E+00,2683.39E-03,2888.16E-07
510000.E+00,2721.96E-03,3772.78E-07
520000.E+00,2750.64E-03,1440.41E-07
530000.E+00,2782.02E-03,1300.94E-06
540000.E+00,2825.91E-03,8255.85E-08
550000.E+00,2851.21E-03,1120.18E-07
560000.E+00,2869.92E-03,1251.04E-07
570000.E+00,2901.02E-03,1371.17E-07
580000.E+00,2944.51E-03,1019.64E-07
590000.E+00,2978.74E-03,1406.14E-07
600000.E+00,3008.44E-03,3953.43E-07
610000.E+00,3060.92E-03,1048.41E-07
620000.E+00,3093.87E-03,4252.68E-06
630000.E+00,3134.74E-03,2635.90E-07
640000.E+00,3178.53E-03,1904.64E-07
650000.E+00,3248.19E-03,1569.17E-07
660000.E+00,3320.76E-03,7723.39E-07
670000.E+00,3301.85E-03,2448.83E-07
680000.E+00,3373.30E-03,4992.56E-07
690000.E+00,3436.70E-03,1838.92E-07
700000.E+00,3477.62E-03,3488.05E-07
710000.E+00,3547.04E-03,2188.89E-07
720000.E+00,3630.13E-03,1935.76E-06
730000.E+00,3695.63E-03,2128.89E-07
740000.E+00,3768.06E-03,1533.73E-06
750000.E+00,3866.46E-03,3479.75E-07
760000.E+00,3973.85E-03,4000.80E-07
770000.E+00,4046.38E-03,6700.92E-07
780000.E+00,4124.10E-03,3494.98E-07
790000.E+00,4207.65E-03,8822.54E-07
800000.E+00,4325.16E-03,3471.42E-07
810000.E+00,4472.11E-03,2621.54E-07
820000.E+00,4605.04E-03,3831.27E-07
830000.E+00,4747.03E-03,3491.35E-07
840000.E+00,4913.89E-03,8292.67E-07
850000.E+00,5177.80E-03,6148.84E-07
860000.E+00,5369.85E-03,1057.06E-06
870000.E+00,5676.10E-03,5592.55E-07
880000.E+00,6077.20E-03,9831.26E-07
890000.E+00,6547.39E-03,1378.60E-06
900000.E+00,7116.88E-03,1463.64E-06
910000.E+00,7667.04E-03,1694.01E-06
920000.E+00,7843.89E-03,2429.99E-06
930000.E+00,6802.75E-03,2658.39E-06
940000.E+00,4741.79E-03,2701.41E-06
950000.E+00,2606.98E-03,1622.04E-06
960000.E+00,9867.01E-04,9536.31E-07
970000.E+00,3191.55E-04,2935.55E-07
980000.E+00,5944.33E-05,6874.36E-08
990000.E+00,1728.75E-05,2379.70E-08
100000.E+01,5940.90E-07,2668.69E-09
