Target Depth,Ionization by Ions,Ionization by Recoils
300000.E-01,9075.50E-03,7238.10E-07
600000.E-01,9257.87E-03,1057.12E-06
900000.E-01,9483.26E-03,1136.34E-06
120000.E+00,9712.40E-03,4902.90E-06
150000.E+00,9950.66E-03,8725.97E-07
180000.E+00,1019.09E-02,1732.87E-06
210000.E+00,1044.93E-02,6061.82E-06
240000.E+00,1071.13E-02,4273.96E-06
270000.E+00,1100.10E-02,8422.73E-07
300000.E+00,1131.89E-02,1058.81E-05
330000.E+00,1167.67E-02,2690.88E-06
360000.E+00,1207.38E-02,1718.32E-06
390000.E+00,1253.15E-02,2669.86E-06
420000.E+00,1304.88E-02,1601.04E-06
450000.E+00,1364.10E-02,5023.82E-06
480000.E+00,1433.53E-02,1796.43E-06
510000.E+00,1518.88E-02,4003.01E-06
540000.E+00,1621.85E-02,2883.85E-06
570000.E+00,1753.47E-02,2904.35E-06
600000.E+00,1932.70E-02,7232.50E-06
630000.E+00,2190.08E-02,6241.86E-06
660000.E+00,2604.18E-02,8025.62E-06
690000.E+00,3089.52E-02,2048.56E-05
720000.E+00,7251.82E-03,4252.34E-05
750000.E+00,4424.33E-07,1057.76E-08
780000.E+00,0000.00E+00,0000.00E+00
810000.E+00,0000.00E+00,0000.00E+00
840000.E+00,0000.00E+00,0000.00E+00
870000.E+00,0000.00E+00,0000.00E+00
900000.E+00,0000.00E+00,0000.00E+00
930000.E+00,0000.00E+00,0000.00E+00
960000.E+00,0000.00E+00,0000.00E+00
990000.E+00,0000.00E+00,0000.00E+00
102000.E+01,0000.00E+00,0000.00E+00
105000.E+01,0000.00E+00,0000.00E+00
108000.E+01,0000.00E+00,0000.00E+00
111000.E+01,0000.00E+00,0000.00E+00
114000.E+01,0000.00E+00,0000.00E+00
117000.E+01,0000.00E+00,0000.00E+00
120000.E+01,0000.00E+00,0000.00E+00
123000.E+01,0000.00E+00,0000.00E+00
126000.E+01,0000.00E+00,0000.00E+00
129000.E+01,0000.00E+00,0000.00E+00
132000.E+01,0000.00E+00,0000.00E+00
135000.E+01,0000.00E+00,0000.00E+00
138000.E+01,0000.00E+00,0000.00E+00
141000.E+01,0000.00E+00,0000.00E+00
144000.E+01,0000.00E+00,0000.00E+00
147000.E+01,0000.00E+00,0000.00E+00
150000.E+01,0000.00E+00,0000.00E+00
153000.E+01,0000.00E+00,0000.00E+00
156000.E+01,0000.00E+00,0000.00E+00
159000.E+01,0000.00E+00,0000.00E+00
162000.E+01,0000.00E+00,0000.00E+00
165000.E+01,0000.00E+00,0000.00E+00
168000.E+01,0000.00E+00,0000.00E+00
171000.E+01,0000.00E+00,0000.00E+00
174000.E+01,0000.00E+00,0000.00E+00
177000.E+01,0000.00E+00,0000.00E+00
180000.E+01,0000.00E+00,0000.00E+00
183000.E+01,0000.00E+00,0000.00E+00
186000.E+01,0000.00E+00,0000.00E+00
189000.E+01,0000.00E+00,0000.00E+00
192000.E+01,0000.00E+00,0000.00E+00
195000.E+01,0000.00E+00,0000.00E+00
198000.E+01,0000.00E+00,0000.00E+00
201000.E+01,0000.00E+00,0000.00E+00
204000.E+01,0000.00E+00,0000.00E+00
207000.E+01,0000.00E+00,0000.00E+00
210000.E+01,0000.00E+00,0000.00E+00
213000.E+01,0000.00E+00,0000.00E+00
216000.E+01,0000.00E+00,0000.00E+00
219000.E+01,0000.00E+00,0000.00E+00
222000.E+01,0000.00E+00,0000.00E+00
225000.E+01,0000.00E+00,0000.00E+00
228000.E+01,0000.00E+00,0000.00E+00
231000.E+01,0000.00E+00,0000.00E+00
234000.E+01,0000.00E+00,0000.00E+00
237000.E+01,0000.00E+00,0000.00E+00
240000.E+01,0000.00E+00,0000.00E+00
243000.E+01,0000.00E+00,0000.00E+00
246000.E+01,0000.00E+00,0000.00E+00
249000.E+01,0000.00E+00,0000.00E+00
252000.E+01,0000.00E+00,0000.00E+00
255000.E+01,0000.00E+00,0000.00E+00
258000.E+01,0000.00E+00,0000.00E+00
261000.E+01,0000.00E+00,0000.00E+00
264000.E+01,0000.00E+00,0000.00E+00
267000.E+01,0000.00E+00,0000.00E+00
270000.E+01,0000.00E+00,0000.00E+00
273000.E+01,0000.00E+00,0000.00E+00
276000.E+01,0000.00E+00,0000.00E+00
279000.E+01,0000.00E+00,0000.00E+00
282000.E+01,0000.00E+00,0000.00E+00
285000.E+01,0000.00E+00,0000.00E+00
288000.E+01,0000.00E+00,0000.00E+00
291000.E+01,0000.00E+00,0000.00E+00
294000.E+01,0000.00E+00,0000.00E+00
297000.E+01,0000.00E+00,0000.00E+00
300000.E+01,0000.00E+00,0000.00E+00
