Target Depth,Ionization by Ions,Ionization by Recoils
200001.E-02,3234.88E-01,1044.23E-04
400001.E-02,3246.51E-01,1170.34E-04
600001.E-02,3244.06E-01,1049.45E-04
800001.E-02,3244.95E-01,9957.11E-05
100000.E-01,3245.57E-01,1011.68E-04
120000.E-01,3246.02E-01,6767.71E-05
140000.E-01,3254.68E-01,1007.96E-04
160000.E-01,3251.14E-01,9366.03E-04
180000.E-01,3248.63E-01,7971.56E-05
200000.E-01,3244.46E-01,1278.59E-04
220000.E-01,3242.18E-01,6928.49E-04
240000.E-01,3244.62E-01,3487.93E-04
260000.E-01,3242.83E-01,9357.15E-05
280000.E-01,3235.14E-01,1377.55E-04
300000.E-01,3228.99E-01,2454.00E-04
320000.E-01,3230.71E-01,2840.15E-04
340000.E-01,3229.01E-01,2606.84E-04
360000.E-01,3215.12E-01,1584.23E-04
380000.E-01,3213.92E-01,1298.60E-04
400000.E-01,3206.10E-01,1557.18E-04
420000.E-01,3192.46E-01,2699.08E-04
440000.E-01,3182.69E-01,1916.29E-04
460000.E-01,3170.20E-01,1845.69E-04
480000.E-01,3163.26E-01,2447.52E-04
500000.E-01,3141.06E-01,2756.31E-04
520000.E-01,3126.97E-01,2571.43E-03
540000.E-01,3107.64E-01,2321.35E-04
560000.E-01,3089.37E-01,3596.69E-04
580000.E-01,3071.18E-01,4687.35E-04
600000.E-01,3051.59E-01,6810.90E-04
620000.E-01,3021.10E-01,2644.78E-04
640000.E-01,2990.27E-01,9118.45E-04
660000.E-01,2967.04E-01,3249.90E-04
680000.E-01,2929.95E-01,6890.10E-04
700000.E-01,2882.52E-01,6352.71E-04
720000.E-01,2846.34E-01,1090.53E-03
740000.E-01,2802.80E-01,1191.37E-03
760000.E-01,2744.56E-01,6954.82E-04
780000.E-01,2688.43E-01,1550.22E-03
800000.E-01,2623.45E-01,1078.42E-03
820000.E-01,2547.43E-01,1390.09E-03
840000.E-01,2462.06E-01,8295.85E-04
860000.E-01,2367.79E-01,1466.25E-03
880000.E-01,2268.81E-01,2346.24E-03
900000.E-01,2148.76E-01,2292.78E-03
920000.E-01,1991.23E-01,1872.74E-03
940000.E-01,1835.00E-01,2640.68E-03
960000.E-01,1650.53E-01,2454.37E-03
980000.E-01,1439.65E-01,3126.02E-03
100000.E+00,1225.67E-01,3794.46E-03
102000.E+00,1006.27E-01,3618.78E-03
104000.E+00,8211.91E-02,4364.74E-03
106000.E+00,6604.85E-02,5709.80E-03
108000.E+00,5307.53E-02,6658.23E-03
110000.E+00,3900.23E-02,7416.72E-03
112000.E+00,1955.73E-02,5697.93E-03
114000.E+00,3536.31E-03,1408.24E-03
116000.E+00,1015.40E-04,6379.03E-05
118000.E+00,0000.00E+00,0000.00E+00
120000.E+00,0000.00E+00,0000.00E+00
122000.E+00,0000.00E+00,0000.00E+00
124000.E+00,0000.00E+00,0000.00E+00
126000.E+00,0000.00E+00,0000.00E+00
128000.E+00,0000.00E+00,0000.00E+00
130000.E+00,0000.00E+00,0000.00E+00
132000.E+00,0000.00E+00,0000.00E+00
134000.E+00,0000.00E+00,0000.00E+00
136000.E+00,0000.00E+00,0000.00E+00
138000.E+00,0000.00E+00,0000.00E+00
140000.E+00,0000.00E+00,0000.00E+00
142000.E+00,0000.00E+00,0000.00E+00
144000.E+00,0000.00E+00,0000.00E+00
146000.E+00,0000.00E+00,0000.00E+00
148000.E+00,0000.00E+00,0000.00E+00
150000.E+00,0000.00E+00,0000.00E+00
152000.E+00,0000.00E+00,0000.00E+00
154000.E+00,0000.00E+00,0000.00E+00
156000.E+00,0000.00E+00,0000.00E+00
158000.E+00,0000.00E+00,0000.00E+00
160000.E+00,0000.00E+00,0000.00E+00
162000.E+00,0000.00E+00,0000.00E+00
164000.E+00,0000.00E+00,0000.00E+00
166000.E+00,0000.00E+00,0000.00E+00
168000.E+00,0000.00E+00,0000.00E+00
170000.E+00,0000.00E+00,0000.00E+00
172000.E+00,0000.00E+00,0000.00E+00
174000.E+00,0000.00E+00,0000.00E+00
176000.E+00,0000.00E+00,0000.00E+00
178000.E+00,0000.00E+00,0000.00E+00
180000.E+00,0000.00E+00,0000.00E+00
182000.E+00,0000.00E+00,0000.00E+00
184000.E+00,0000.00E+00,0000.00E+00
186000.E+00,0000.00E+00,0000.00E+00
188000.E+00,0000.00E+00,0000.00E+00
190000.E+00,0000.00E+00,0000.00E+00
192000.E+00,0000.00E+00,0000.00E+00
194000.E+00,0000.00E+00,0000.00E+00
196000.E+00,0000.00E+00,0000.00E+00
198000.E+00,0000.00E+00,0000.00E+00
200000.E+00,0000.00E+00,0000.00E+00
