Ag Charge (C),6.009351111e-13,4.973362942499999e-13,3.536613648e-13
Ag Energy (eV),499500000.0,1039420000.0000001,2180000000.0
N Charge (C),3.18129966e-14,1.1981518199999998e-14,7.8499602e-15
N Energy (eV),67440000.0,233750000.0,425450000.0
B Charge (C),1.704267675e-14,9.192716550000001e-15
B Energy (eV),44900000.0,108010000.0
Au Charge (C),8.858060352000001e-13
Au Energy (eV),1955870000.0
O Charge (C),2.262028005e-14,1.59064983e-14,1.01223171e-14
O Energy (eV),183470000.0,277330000.0,490220000.0
Ar Charge (C),1.4790977640000003e-13,1.006034373e-13,7.509106665e-14,6.476217165e-14,5.030171865e-14
Ar Energy (eV),180000000.0,400000000.0,642360000.0,800000000.0,1046109999.9999999
Cu Charge (C),3.0294649035e-13,2.1866270715e-13,1.7073663435e-13,1.458439974e-13
Cu Energy (eV),301790000.0,659190000.0,1007340000.0,1260000000.0
V Charge (C),2.239304436e-13,1.5069857805000002e-13,1.1258495550000002e-13
V Energy (eV),221000000.0,508270000.0,832840000.0
Tb Charge (C),8.006959404e-13
Tb Energy (eV),724170000.0
Bi Charge (C),1.0302039872999999e-12
Bi Energy (eV),904160000.0
He Charge (C),1.13617845e-15
He Energy (eV),43460000.0
Cl Charge (C),6.827399595000001e-14
Cl Energy (eV),539510000.0
C Charge (C),7.4368044e-15
C Energy (eV),240000000.0
Ne Charge (C),5.959772415e-14,3.6047843550000007e-14,2.468605905e-14,2.065779e-14,1.5286764600000002e-14
Ne Energy (eV),89950000.0,216280000.0,321000000.0,400000000.0,620000000.0
Al Charge (C),3.47050872e-14
Al Energy (eV),540000000.0
Si Charge (C),9.585214559999998e-14,6.290297054999999e-14,4.709976119999999e-14
Si Energy (eV),139610000.0,291770000.0,452100000.0
Ta Charge (C),9.001631992500001e-13
Ta Energy (eV),805020000.0
Kr Charge (C),4.0540912875000007e-13,3.1874969969999997e-13,2.5801579710000004e-13,2.336396049e-13
Kr Energy (eV),378110000.0,885590000.0,1225540000.0,1560000000.0
Xe Charge (C),7.110411318000001e-13,6.071324481e-13,5.0911123455e-13,4.68931833e-13
Xe Energy (eV),602900000.0,1232550000.0,1954710000.0,2480000000.0
Y Charge (C),4.707910341e-13,3.5872252335e-13,2.5636317390000003e-13
Y Energy (eV),409580000.0,928490000.0,1780000000.0
